0000001 002  -----   -----                    
0002359 050  NN1     sun                      Z3c[i375.2.2 W1 W2 W4 
0002359 060  NN1     california               Z2 
0002359 070  NN2     italians                 Z2/S2mf F1 
0002359 080  II      during                   Z5 
0002359 090  AT      the                      Z5 
0002359 100  JJ      progressive              G1.2 T3--- N3.8- Q3 
0002359 110  NN1     era                      T1.3 
0002361 010  MC      2                        N1 T1.2 T3 T1.3 N3.2 
0002361 020  AT      the                      Z5 
0002361 030  NN2     italians                 Z2/S2mf F1 
0002361 040  IO      of                       Z5 
0002361 050  FW      los                      Z2[i376.2.1 Z5 
0002361 060  NN2     angeles                  Z2[i376.2.2 
0002361 070  MC      1900                     N1[i377.2.1 T3[i377.2.1 T1.2[i377.2.1 T1.3[i377.2.1 N3.3[i377.2.1 N3.5[i377.2.1 I1[i377.2.1 N1 T1.2 T3 T1.3 N3.2 
0002363 010  MC      3                        N1[i377.2.2 T3[i377.2.2 T1.2[i377.2.2 T1.3[i377.2.2 N3.3[i377.2.2 N3.5[i377.2.2 I1[i377.2.2 N1 T1.2 T3 T1.3 N3.2 
0002363 020  NN1     tradition                S1.1.1 T1.1.1 A6.2+ 
0002363 030  CC      and                      Z5 
0002363 040  NN1     transition               A2.1+ 
0002363 050  II      in                       Z5 
0002363 060  AT1     a                        Z5 
0002363 070  NN1     california               Z2 
0002363 080  NN1     paese                    Z99 
0002365 010  NN1     part                     P1[i378.2.1 N5.1- O2 M7 I3.1 S1.1.3+ K4 
0002365 020  MC      ii                       P1[i378.2.2 N1 
0002365 030  NN2     occupations              I3.1 A1.1.1 G3 H4 
0002365 040  CC      and                      Z5 
0002365 050  JJ      economic                 I1.3- I2.1 
0002365 060  NN1     life                     L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1 
0002367 010  MC      4                        N1 T1.2 T3 T1.3 N3.2 
0002367 020  NN2     fishermen                F4/M4/S2.2m K5.1/M4/S2.2m 
0002367 030  IO      of                       Z5 
0002367 040  JJ      san                      S2.2m Z2/S2mf 
0002367 050  NN1     diego                    Z1m 
0002367 060  AT      the                      Z5 
0002367 070  NN2     italians                 Z2/S2mf F1 
0002369 010  MC      5                        N1 
0002369 020  NN1     andrea                   Z1f 
0002369 030  NN1     sbarboro                 Z99 
0002369 040  NN1     founder                  T2+/S2mf 
0002369 050  IO      of                       Z5 
0002369 060  AT      the                      Z5 
0002369 070  JJ      italian-swiss            Z99 
0002369 080  NN1     colony                   M7/S7.1- M7/H4 S5+ L2 L3 
0002369 090  NN1     wine                     F2/I2.1c[i379.2.1 F2 
0002369 100  NN1     company                  F2/I2.1c[i379.2.2 I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c 
0002369 110  NN2     reminiscences            X2.1/T1.1.1 
0002369 120  IO      of                       Z5 
0002369 130  AT1     an                       Z5 
0002369 140  JJ      italian                  Z2 Z2/Q3 
0002369 150  NN1     american                 Z2/S2mf 
0002369 160  NN1     pioneer                  T2+/S2mf 
0002371 010  MC      6                        N1 T1.2 T3 T1.3 N3.2 
0002371 020  AT1     a                        Z5 
0002371 030  NN1@    p                        Z5 
0002371 040  NN2     giannini                 Z99 
0002371 050  CC      and                      Z5 
0002371 060  AT      the                      Z5 
0002371 070  NN1     bank                     I1/H1 I1.1/I2.1c W3/M4 A9+/H1 O2 M6 
0002371 080  IO      of                       Z5 
0002371 090  JJ@     italy                    Z2 
0002371 100  NN1     california               Z2 
0002371 110  VVD     mixed                    A2.1+ S1.1.3+ K3 
0002371 120  NN2     multitudes               N5+ 
0002373 010  MC      7                        N1 T1.2 T3 T1.3 N3.2 
0002373 020  AT      the                      Z5 
0002373 030  NN1     afl                      Z99 
0002373 040  AT      the                      Z5 
0002373 050  NN1     iww                      Z99 
0002373 060  CC      and                      Z5 
0002373 070  NN1     bay                      W3/M4 H2 M5 O4.4 L3 
0002373 080  NN1     area                     M7 A4.1 N3.6 
0002373 090  NN1     cannery                  Z99 
0002373 100  NN2     workers                  I3.1/S2mf 
0002375 010  NN1     part                     P1[i380.2.1 N5.1- O2 M7 I3.1 S1.1.3+ K4 
0002375 020  MC      iii                      P1[i380.2.2 N1 
0002375 030  JJ      social                   S1.1.1 
0002375 040  CC      and                      Z5 
0002375 050  JJ      political                G1.2 
0002375 060  NN1     experience               X2.2+ X9.1+ I3.2 A2.1+/A3+ X3 
0002377 010  MC      8                        N1 T1.2 T3 T1.3 N3.2 
0002377 020  NN1     antonietta               Z99 
0002377 030  NN2     pisanelli                Z99 
0002377 040  NN1     alessandro               Z99 
0002377 050  CC      and                      Z5 
0002377 060  AT      the                      Z5 
0002377 070  JJ      italian                  Z2 Z2/Q3 
0002377 080  NN1     theater                  K4/H1 K4 B3/H2 M7 
0002377 090  IO      of                       Z5 
0002377 100  JJ      san                      S2.2m Z2/S2mf 
0002377 110  NN1     francisco                Z1m 
0002377 120  NN1     entertainment            K1 
0002377 130  NN1     education                P1 X2.3+ 
0002377 140  CC      and                      Z5 
0002377 150  NN1     americanization          Z2/A6.1+ 
0002379 010  MC      9                        N1[i381.2.1 T3[i381.2.1 T1.2[i381.2.1 T1.3[i381.2.1 N3.3[i381.2.1 N3.5[i381.2.1 I1[i381.2.1 N1 T1.2 T3 T1.3 N3.2 
0002379 020  MC      five                     N1[i381.2.2 T3[i381.2.2 T1.2[i381.2.2 T1.3[i381.2.2 N3.3[i381.2.2 N3.5[i381.2.2 I1[i381.2.2 N1 T3 T1.2 
0002379 030  NN2     families                 S4 A4.1 
0002379 040  II      from                     Z5 
0002379 050  AT      the                      Z5 
0002379 060  MC2     1920s                    T1.3 N1 T3 
0002379 070  II      to                       Z5 
0002379 080  AT      the                      Z5 
0002379 090  NN1     present                  T1.1.2 A9- 
0002381 010  MC      10                       N1 T1.2 T3 T1.3 N3.2 
0002381 020  AT      the                      Z5 
0002381 030  NN1     relocation               M6/A2.1+ 
0002381 040  IO      of                       Z5 
0002381 050  JJ      italian                  Z2 Z2/Q3 
0002381 060  NN2     americans                Z2/S2mf 
0002381 070  II      in                       Z5 
0002381 080  NN1     california               Z2 
0002381 090  II      during                   Z5 
0002381 100  NN1     world                    Z3[i383.3.1 W1 S5+c A4.1 N5+ G3[i382.2.1 
0002381 110  NN1     war                      Z3[i383.3.2 G3 S7.3 G3[i382.2.2 
0002381 120  MC      ii                       Z3[i383.3.3 N1 
0002383 010  NN1     part                     N5.1- O2 M7 I3.1 S1.1.3+ K4 
0002383 020  MC      iv                       N1 T1.2 T3 T1.3 N3.2 
0002383 030  AT      the                      Z5 
0002383 040  JJ      immigrant                M1/M7/S2mf 
0002383 050  NN1     community                S5+c 
0002385 010  MC      11                       N1 T1.2 T3 T1.3 N3.2 
0002385 020  NN2     factors                  A2.2 A4.1 N2 I2.1/S2mf@ 
0002385 030  VVG     relating                 A2.2 S3.1 X2.5+ Q2.1 
0002385 040  II      to                       Z5 
0002385 050  NN1     property                 A9+ H1/H3 O4.1 
0002385 060  NN1     ownership                A9+ 
0002385 070  IO      of                       Z5 
0002385 080  NN1     mexican                  Z2/S2mf 
0002385 090  NN2     americans                Z2/S2mf 
0002385 100  CC      and                      Z5 
0002385 110  JJ      italian                  Z2 Z2/Q3 
0002385 120  NN2     americans                Z2/S2mf 
0002385 130  II      in                       Z5 
0002385 140  NN1     lincoln                  Z2 Z1mf 
0002385 150  NN2     heights                  N3.7 N5.1+ S7.1+ 
0002385 160  FW      los                      Z2[i384.2.1 Z5 
0002385 170  NN2     angeles                  Z2[i384.2.2 
0002387 010  MC      12                       N1 T1.2 T3 T1.3 N3.2 
0002387 020  AT      the                      Z5 
0002387 030  NN1     excelsior                Z99 
0002387 040  NN2     villagers                M7/S2mf 
0002387 050  AT1     a                        Z5 
0002387 060  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0002387 070  IO      of                       Z5 
0002387 080  AT1     an                       Z5 
0002387 090  JJ      italian                  Z2 Z2/Q3 
0002387 100  NN1     american                 Z2/S2mf 
0002387 110  NN1     neighborhood             N3.3-/H3c N3.3-/S2mf M7/N3.3- 
0002387 120  II      in                       Z5 
0002387 130  NN1     transition               A2.1+ 
0002389 010  NN1     photo                    C1 
0002389 020  NN1     essay                    Q1.2/P1 Q1.2 X8+ 
0002391 010  NN1     bibliography             Q4.1 Q4.2 
0002393 010  NN1     foreword                 Q4.1 
0002395 010  NN1     preface                  T2+ T2+/Q2.1 
0002397 010  NN1     introduction             T2+ Q4 S1.1.1 
0002399 010  NN2     acknowledgements         Q2.2 
0002401 010  NN2     symbols                  A6.2+ Q1.1 X4.1 M2 
0002403 010  NN2     abbreviations            Q4.1/Q3[i385.2.1 Q1.2/Q3[i385.2.1 Q3 
0002405 010  NN2     books                    Q4.1/Q3[i385.2.2 Q1.2/Q3[i385.2.2 Q4.1 Q1.2 I1/Q1.2 K5.1/I1 
0002405 020  II      on                       Z5 
0002405 030  NN2     greeks                   Z2/S2mf 
0002405 040  II      in                       Z5 
0002405 050  AT      the                      Z5 
0002405 060  JJ      united                   Z2c[i386.2.1 S5+ 
0002405 070  NN2     states                   Z2c[i386.2.2 G1.1c O4.1 
0002407 010  NN2     articles                 Q4.2 O2 Q3 G2.1/P1@ 
0002407 020  II      on                       Z5 
0002407 030  NN2     greeks                   Z2/S2mf 
0002407 040  II      in                       Z5 
0002407 050  AT      the                      Z5 
0002407 060  JJ      united                   Z2c[i387.2.1 S5+ 
0002407 070  NN2     states                   Z2c[i387.2.2 G1.1c O4.1 
0002409 010  NN2     greek-americans          Z99 
0002409 020  II      in                       Z5 
0002409 030  NN1     fiction                  A5.2- 
0002411 010  NN2     publications             Q4 
0002411 020  VVG     dealing                  A1.1.1 I2.2 I2.1 A9- K5.2 F3/I2.2 
0002411 030  IW      with                     Z5 
0002411 040  AT      the                      Z5 
0002411 050  NN1     greek                    Z2/S2mf 
0002411 060  JJ      orthodox                 S9 A6.2+ 
0002411 070  NN1     church                   S9/H1c S9c 
0002411 080  II      in                       Z5 
0002411 090  AT      the                      Z5 
0002411 100  JJ      united                   Z2c[i388.2.1 S5+ 
0002411 110  NN2     states                   Z2c[i388.2.2 G1.1c O4.1 
0002413 010  JJ      unpublished              Z99 
0002413 020  NN      works                    I4/H1c H1c A1.1.1 N5.1+ Q4 
0002415 010  NN2     almanacs                 T1/Q1.2 
0002415 020  NN2     guides                   S8+ Q4.1 S8+/S2mf K1/S5+ K1/S2.1f 
0002415 030  CC      and                      Z5 
0002415 040  NN2     directories              Q1.3/Q4.1 Q4.1 Y2 
0002417 010  JJ      greek-american           Z99 
0002417 020  NN2     serials                  Q4 
0002417 030  RR      currently                T1.1.2 
0002417 040  VVN     published                Q4 
0002419 010  JJ      greek-american           Z99 
0002419 020  NN2     serials                  Q4 
0002419 030  VVN     suspended                M2 I3.1- P1/G2.1 
0002419 040  IW      with                     Z5 
0002419 050  NN2     holdings                 A9+ I1.1+ M7/F4 S1.1.1 
0002419 060  CC      and                      Z5 
0002419 070  NN2     references               Q2.2 Q1.2 
0002419 080  VVD     provided                 A9- S6+ 
0002421 010  JJ      fraternal                S5+ S4 
0002421 020  NN2     publications             Q4 
0002423 010  NN1     parish                   S9/M7 M7 
0002423 020  CC      and                      Z5 
0002423 030  JJ      archdiocesan             S9 
0002423 040  NN2     materials                O1 B5 O2 
0002425 010  NN1     manuscript               Q1.2 
0002425 020  NN2     collections              A9+ I1 B5 
0002427 010  VV0@    research                 X2.4 
0002427 020  II      in                       Z5 
0002427 030  NN1     progress                 A5.1+/A2.1 T2++ A2.1+ M1% 
0002429 010  NN1     introduction             T2+ Q4 S1.1.1 
0002431 010  AT      the                      Z5 
0002431 020  NN1     immigration              M1/M7 
0002431 030  IO      of                       Z5 
0002431 040  JJ      asian                    Z2 
0002431 050  NN2     professionals            I3.2+/S2mf X9.1+/S2mf 
0002431 060  II      to                       Z5 
0002431 070  AT      the                      Z5 
0002431 080  JJ      united                   Z2c[i389.2.1 S5+ 
0002431 090  NN2     states                   Z2c[i389.2.2 G1.1c O4.1 
0002431 100  MC      1988                     N1[i390.2.1 T3[i390.2.1 T1.2[i390.2.1 T1.3[i390.2.1 N3.3[i390.2.1 N3.5[i390.2.1 I1[i390.2.1 N1 T1.2 T3 T1.3 N3.2 
0002431 110  MC      1990                     N1[i390.2.2 T3[i390.2.2 T1.2[i390.2.2 T1.3[i390.2.2 N3.3[i390.2.2 N3.5[i390.2.2 I1[i390.2.2 N1 T1.2 T3 T1.3 N3.2 
0002433 010  II      beyond                   Z5 
0002433 020  JJ      little                   N3.2- T3- N3.7- N3.3- T1.3- A11.1- 
0002433 030  NN2     taipei                   Z99 
0002433 040  AT      the                      Z5 
0002433 050  NN1     development              A2.1+ A5.1+/A2.1 H1 
0002433 060  IO      of                       Z5 
0002433 070  NN1     taiwanese                Z2/S2mf 
0002433 080  NN1     immigrant                M1/M7/S2mf 
0002433 090  NN2     businesses               I2.1 A1.1.1 A5.1+++ 
0002433 100  II      in                       Z5 
0002433 110  FW      los                      Z2[i391.2.1 Z5 
0002433 120  NN2     angeles                  Z2[i391.2.2 
0002435 010  JJ      asian                    Z2 
0002435 020  JJ      new                      T3- 
0002435 030  VV0     york                     Z2 Z1mf 
0002435 040  AT      the                      Z5 
0002435 050  NN1     geography                P1/W3 W3 
0002435 060  CC      and                      Z5 
0002435 070  NN1     politics                 G1.2c 
0002435 080  IO      of                       Z5 
0002435 090  NN1     diversity                A6.3+ 
0002437 010  VD0     do                       A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5 
0002437 020  NN2     immigrants               M1/M7/S2mf 
0002437 030  VVN     screened                 A10- Q4.3 X2.4 B3 
0002437 040  IF      for                      Z5 
0002437 050  NN2     skills                   X9.1+ 
0002437 060  VD0     do                       A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5 
0002437 070  RRR     better                   A5.1++ G2.2++ O4.2++ 
0002437 080  CSN     than                     Z5 
0002437 090  NN1     family                   S4c A4.1c 
0002437 100  NN1     reunification            A1.8+/G1.1 A1.1.1 
0002437 110  NN2     immigrants               M1/M7/S2mf 
0002439 010  VV0@    wage                     A1.1.1 
0002439 020  NN1     mobility                 M1 I1.1 
0002439 030  IO      of                       Z5 
0002439 040  JJ      undocumented             Q1.2- X2.2- 
0002439 050  NN2     workers                  I3.1/S2mf 
0002439 060  II      in                       Z5 
0002439 070  AT      the                      Z5 
0002439 080  JJ      united                   Z2c[i392.2.1 S5+ 
0002439 090  NN2     states                   Z2c[i392.2.2 G1.1c O4.1 
0002441 010  JJ      international            M7 
0002441 020  NN1     labor                    A1.1.1 A12- I3.1/S5+ B1 
0002441 030  NN1     migration                M1 
0002441 040  II      through                  Z5 
0002441 050  JJ      multinational            M7 
0002441 060  NN2     enterprises              I2.1 X8+ 
0002443 010  JJ      international            M7 
0002443 020  NN1     migration                M1 
0002443 030  JJ      demographic              S5+ 
0002443 040  CC      and                      Z5 
0002443 050  JJ      socioeconomic            S1.1.1/I2.1 
0002443 060  NN2     consequences             A2.2 
0002443 070  II      in                       Z5 
0002443 080  AT      the                      Z5 
0002443 090  JJ      united                   Z2c[i393.2.1 S5+ 
0002443 100  NN1     kingdom                  Z2c[i393.2.2 G1.1 M7/S7.1+ A4.1/L2 
0002443 110  CC      and                      Z5 
0002443 120  VV0     europe                   Z2 
0002445 010  II      from                     Z5 
0002445 020  JJ      white                    O4.3 G2.2+ 
0002445 030  NN1     australia                Z2 
0002445 040  II      to                       Z5 
0002445 050  NN1     part                     N5.1- O2 M7 I3.1 S1.1.3+ K4 
0002445 060  IO      of                       Z5 
0002445 070  NN1     asia                     Z2 
0002445 080  JJ      recent                   T3- 
0002445 090  NN2     shifts                   A2.1+ S5+c T1.3/I3.1 
0002445 100  II      in                       Z5 
0002445 110  JJ      australian               Z2 
0002445 120  NN1     immigration              M1/M7 
0002445 130  NN1     policy                   X7+ Q1.2 
0002445 140  II      towards                  Z5 
0002445 150  AT      the                      Z5 
0002445 160  NN1     region                   M7 B1 
0002447 010  AT      the                      Z5 
0002447 020  ND1     south-to-north           Z99 
0002447 030  NN1     migration                M1 
0002447 040  IO      of                       Z5 
0002447 050  NN2     women                    S2.1f 
0002449 010  AT      the                      Z5 
0002449 020  NN1     work                     I3.1 A1.1.1 Q4 K2 C1 
0002449 030  IO      of                       Z5 
0002449 040  NN2     strangers                X2.2-/S2mf 
0002449 050  AT1     a                        Z5 
0002449 060  NN1     survey                   X2.4 
0002449 070  IO      of                       Z5 
0002449 080  JJ      international            M7 
0002449 090  NN1     labour                   A1.1.1 A12- I3.1/S5+ B1 
0002449 100  NN1     migration                M1 
0002451 010  NN2     immigrants               M1/M7/S2mf 
0002451 020  CC      and                      Z5 
0002451 030  AT      the                      Z5 
0002451 040  NN1     american                 Z2/S2mf 
0002451 050  NN1     city                     M7c M7/I2.1c 
0002453 010  RL@     beyond                   M6 N4 
0002453 020  VV0     europe                   Z2 
0002453 030  AT      the                      Z5 
0002453 040  NN1     globalization            Z99 
0002453 050  IO      of                       Z5 
0002453 060  NN1     refugee                  M1/S2mf 
0002453 070  NN1     aid                      S8+ 
0002455 010  NN      series                   N4c Q4.3c 
0002455 020  II      on                       Z5 
0002455 030  NN1     development              A2.1+ A5.1+/A2.1 H1 
0002455 040  CC      and                      Z5 
0002455 050  JJ      international            M7 
0002455 060  NN1     migration                M1 
0002455 070  II      in                       Z5 
0002455 080  NN1     mexico                   Z2 Z3c 
0002455 090  JJ      central                  A11.1+ M6 
0002455 100  NN1     america                  Z2 
0002455 110  CC      and                      Z5 
0002455 120  AT      the                      Z5 
0002455 130  JJ      caribbean                Z2 
0002455 140  NN1     basin                    O2 W3 M4 
0002457 010  II      beyond                   Z5 
0002457 020  AT      the                      Z5 
0002457 030  NN1     killing                  L1- A12- A1.5.1 E4.1-/A2.2 
0002457 040  NN2     fields                   F4 W3 M7 K5.1/M7 G3@ A4.1 
0002457 050  NN2     voices                   Q2.1 X2.1 Q3 
0002457 060  IO      of                       Z5 
0002457 070  MC      nine                     N1 T1.2 T3 T1.3 N3.2 
0002457 080  JJ      cambodian                Z2 
0002457 090  NN2     survivors                A3+/S2mf L1+/S2mf 
0002457 100  II      in                       Z5 
0002457 110  NN1     america                  Z2 
0002459 010  AT      the                      Z5 
0002459 020  JJ      central                  Z2/S2mf[i394.2.1 A11.1+ M6 
0002459 030  NN1     american                 Z2/S2mf[i394.2.2 Z2/S2mf 
0002459 040  NN1     refugee                  M1/S2mf 
0002459 050  NN1     issue                    X4.1 Q4.2 S4 A9- 
0002459 060  II      in                       Z5 
0002459 070  JJ      brownsville              Z99 
0002459 080  NN2     texas                    Z2 Z3c 
0002461 010  AT      the                      Z5 
0002461 020  NN1     culture                  C1 S1.1.1 S5+ L1 
0002461 030  IO      of                       Z5 
0002461 040  NN1     protest                  Q2.2 A10+ G1.2 
0002463 010  JJ      peaceful                 E3+ 
0002463 020  NN2     invasions                G3 X7- N5+ 
0002463 030  NN1     immigration              M1/M7 
0002463 040  CC      and                      Z5 
0002463 050  JJ      changing                 A2.1+ 
0002463 060  NN1     america                  Z2 
0002465 010  JJ      little                   N3.2- T3- N3.7- N3.3- T1.3- A11.1- 
0002465 020  NN1     brazil                   Z2 
0002465 030  AT1     an                       Z5 
0002465 040  NN1     ethnography              Z99 
0002465 050  IO      of                       Z5 
0002465 060  JJ      brazilian                Z2 
0002465 070  NN2     immigrants               M1/M7/S2mf 
0002465 080  II      in                       Z5 
0002465 090  JJ      new                      T3- 
0002465 100  VV0     york                     Z2 Z1mf 
0002465 110  NN1     city                     M7c M7/I2.1c 
0002467 010  AT      the                      Z5 
0002467 020  JJ      irish                    Z2 Z2/Q3 Z2/S2mfnc 
0002467 030  NN1     diaspora                 S5+ 
0002467 040  AT1     a                        Z5 
0002467 050  NN1     primer                   O1 
0002469 010  AT      the                      Z5 
0002469 020  NN1     politics                 G1.2c 
0002469 030  IO      of                       Z5 
0002469 040  ND1     east-west                Z99 
0002469 050  NN1     migration                M1 
0002471 010  NN2     voices                   Q2.1 X2.1 Q3 
0002471 020  IO      of                       Z5 
0002471 030  NN2     migrants                 M1/S2mf 
0002471 040  JJ      rural-urban              M7 
0002471 050  NN1     migration                M1 
0002471 060  II      in                       Z5 
0002471 070  NN1     costa                    Z2[i395.2.1 
0002471 080  NN1     rica                     Z2[i395.2.2 
0002473 010  JJ      international            M7 
0002473 020  NN1     newsletter               Q4.2 
0002473 030  II      on                       Z5 
0002473 040  NN1     migration                M1 
0002475 010  RR21    in                       Z5 O4.2+ M6 
0002475 020  RR22    memoriam                 Z99 
0002477 010  NN1     introduction             T2+ Q4 S1.1.1 
0002479 010  JJ      international            M7 
0002479 020  NN2     factors                  A2.2 A4.1 N2 I2.1/S2mf@ 
0002479 030  II      in                       Z5 
0002479 040  AT      the                      Z5 
0002479 050  NN1     formation                A2.1+ O4.4 S5+c 
0002479 060  IO      of                       Z5 
0002479 070  NN1     refugee                  M1/S2mf 
0002479 080  NN2     movements                M1 S5+c K2 A2.1+ 
0002481 010  JJ      early                    T4+ T1.1.1 
0002481 020  NN1     warning                  X2.2+/A15- A1.3+ 
0002481 030  IO      of                       Z5 
0002481 040  JJ      disastrous               A5.1--- X9.2- 
0002481 050  NN1     population               S2/N5c 
0002481 060  NN1     movement                 M1 S5+c K2 A2.1+ 
0002483 010  JJ      international            M7 
0002483 020  NN1     law                      G2.1 S6+ Y1 
0002483 030  CC      and                      Z5 
0002483 040  AT      the                      Z5 
0002483 050  NN1     detention                P1/G2.1 G2.1 A1.7+ 
0002483 060  IO      of                       Z5 
0002483 070  NN2     refugees                 M1/S2mf 
0002483 080  CC      and                      Z5 
0002483 090  NN1     asylum                   Z2/X7+/S2mf[i396.2.1 G1.1 B3/H1c 
0002483 100  NN2     seekers                  Z2/X7+/S2mf[i396.2.2 X2.4/S2mf 
0002485 010  NN1     responsibility           S6+ S7.1+ X6+ 
0002485 020  IF      for                      Z5 
0002485 030  VVG     examining                X2.4 B3 P1 
0002485 040  AT1     an                       Z5 
0002485 050  NN1     asylum                   G1.1 B3/H1c 
0002485 060  NN1     request                  Q2.1 Q2.2 
0002487 010  JJ      troubled                 E6- 
0002487 020  NN1     communication            Q2.1 Q1.2 Q1.3 Q4.3 
0002487 030  JJ      cross-cultural           S5+/N5+ 
0002487 040  NN2     misunderstandings        X2.5- 
0002487 050  II      in                       Z5 
0002487 060  AT      the                      Z5 
0002487 070  JJ      asylum-hearing           Z99 
0002489 010  JJ@     hidden                   A10- 
0002489 020  NN2     losers                   X9.2-/S2mf 
0002489 030  AT      the                      Z5 
0002489 040  NN1     impact                   A2.2 A1.1.1 
0002489 050  IO      of                       Z5 
0002489 060  JJ      rural                    F4/M7 
0002489 070  NN2     refugees                 M1/S2mf 
0002489 080  CC      and                      Z5 
0002489 090  NN1     refugee                  M1/S2mf 
0002489 100  NN2     programs                 Y2 X7+ Q4.3 Q1.2 P1 
0002489 110  II      on                       Z5 
0002489 120  JJR     poorer                   I1.1-- A5.1-- N5-- E4.1-- X9.1-- 
0002489 130  NN2     hosts                    S2mf B1@ Y2@ S9% 
0002491 010  JJ      durable                  O4.1 
0002491 020  NN2     solutions                X4.2 O1.2 
0002491 030  IF      for                      Z5 
0002491 040  JJ      developing               M7/A2.1+[i397.2.1 A2.1+ T2+ A5.1+/A2.1 N3.2+/A2.1 H1 A9+ C1 
0002491 050  NN1     country                  M7/A2.1+[i397.2.2 G1.1c W3 F4/M7 K2 
0002491 060  NN2     refugees                 M1/S2mf 
0002493 010  II      beyond                   Z5 
0002493 020  NN1     icara                    Z99 
0002493 030  MC      ii                       N1 
0002493 040  VVG     implementing             A1.1.1 A9-/O2 
0002493 050  JJ      refugee-related          M1/S2mf 
0002493 060  NN1     development              A2.1+ A5.1+/A2.1 H1 
0002493 070  NN1     assistance               S8+ 
0002495 010  RR      spontaneously            X7- 
0002495 020  VVN     settled                  M8 X9.2+ I1.2 H4 E4.2+ X6+ 
0002495 030  NN2     refugees                 M1/S2mf 
0002495 040  II      in                       Z5 
0002495 050  JJ      northwestern             Z3 
0002495 060  NN1     province                 M7 A4.1 
0002495 070  NN1     zambia                   Z2 
0002497 010  NN1     marginality              A11.1- 
0002497 020  CC      and                      Z5 
0002497 030  NN1     migration                M1 
0002497 040  JJ      cultural                 C1 S1.1.1 S5+ 
0002497 050  NN2     dimensions               A4.1 N3.2 
0002497 060  IO      of                       Z5 
0002497 070  AT      the                      Z5 
0002497 080  NN1     afghan                   Z2/S2mf 
0002497 090  NN1     refugee                  M1/S2mf 
0002497 100  NN1     problem                  A12- X4.1 N2 B2- 
0002499 010  NN1     flight                   M5 M1 H2 
0002499 020  II      into                     Z5 
0002499 030  NN1     despair                  E4.1- 
0002499 040  AT1     a                        Z5 
0002499 050  NN1     profile                  B1 Q1.1 
0002499 060  IO      of                       Z5 
0002499 070  JJ      recent                   T3- 
0002499 080  JJ      haitian                  Z2/S2mf 
0002499 090  NN2     refugees                 M1/S2mf 
0002499 100  II      in                       Z5 
0002499 110  ND1     south                    M6 
0002499 120  FW      florida                  Z2 
0002501 010  NN2     innovations              T3- 
0002501 020  II      in                       Z5 
0002501 030  AT      the                      Z5 
0002501 040  NN1     struggle                 X8+ A12- E3- 
0002501 050  IF      for                      Z5 
0002501 060  NN1     self-reliance            S5- 
0002501 070  AT      the                      Z5 
0002501 080  NN1     hmong                    Z2/S2mf 
0002501 090  NN1     experience               X2.2+ X9.1+ I3.2 A2.1+/A3+ X3 
0002501 100  II      in                       Z5 
0002501 110  AT      the                      Z5 
0002501 120  JJ      united                   Z2c[i398.2.1 S5+ 
0002501 130  NN2     states                   Z2c[i398.2.2 G1.1c O4.1 
0002503 010  VV0@    labor                    A1.1.1/A12- A11.1+/N5.2+ 
0002503 020  NN1     force                    E3- S7.1+ G2.1c N3 S5+c 
0002503 030  NN1     participation            S1.1.3+ 
0002503 040  NN1     household                S4c B4 
0002503 050  NN1     composition              N5.1+ A1.1.1 Q1.2/P1 K2 Q3 C1 
0002503 060  CC      and                      Z5 
0002503 070  NN1     sponsorship              A9-/I1.1 S8+ 
0002503 080  II      among                    Z5 
0002503 090  ND1     southeast                Z99 
0002503 100  JJ      asian                    Z2 
0002503 110  NN2     refugees                 M1/S2mf 
0002505 010  JJ      ethnic                   S5+ 
0002505 020  NN2     differences              A6.1- 
0002505 030  II      in                       Z5 
0002505 040  NN1     adaptation               A2.1+ 
0002505 050  NN1     sino-                    Z99 
0002505 060  NN1     vietnamese               Z2/S2mf 
0002505 070  NN2     refugees                 M1/S2mf 
0002505 080  II      in                       Z5 
0002505 090  AT      the                      Z5 
0002505 100  JJ      united                   Z2c[i399.2.1 S5+ 
0002505 110  NN2     states                   Z2c[i399.2.2 G1.1c O4.1 
0002507 010  NN1     fertility                B1/S4 
0002507 020  CC      and                      Z5 
0002507 030  NN1     adaptation               A2.1+ 
0002507 040  NN1     indochinese              Z99 
0002507 050  NN2     refugees                 M1/S2mf 
0002507 060  II      in                       Z5 
0002507 070  AT      the                      Z5 
0002507 080  JJ      united                   Z2c[i400.2.1 S5+ 
0002507 090  NN2     states                   Z2c[i400.2.2 G1.1c O4.1 
0002509 010  JJ      unintended               Z99 
0002509 020  NN2     consequences             A2.2 
0002509 030  II      in                       Z5 
0002509 040  NN1     refugee                  M1/S2mf 
0002509 050  NN1     resettlement             H4/N6+ 
0002509 060  JJ      post-war                 T1.3 
0002509 070  JJ      ukrainian                Z2 Z2/Q3 
0002509 080  NN1     refugee                  M1/S2mf 
0002509 090  NN1     immigration              M1/M7 
0002509 100  II      to                       Z5 
0002509 110  NN1     canada                   Z2 
0002511 010  JJ      methodological           X4.2 
0002511 020  NN2     problems                 A12- X4.1 N2 B2- 
0002511 030  CC      and                      Z5 
