AU,TI,PY,JO
"KATS, RACHEL",Occupational Mobility of Immigrants and their Job Satisfaction A Secondary Analysis (I),1983,International Migration
"ROCKETT, IAN R.H.","Ethnicity, Immigration Process and short-term occupational Mobility",1983,International Migration
"HOUSTOUN, MARION F.","Aliens in Irregular Status in the United States: A Review of their Numbers, Characteristics, and Role in the U.S. Labor Market",1983,International Migration
"Elich, J.H.",Current Events and Developments,1983,International Migration
"MISHLER, WILLIAM",Public Opinion toward New Migrants: A Comparative,1983,International Migration
"WEIDACHER, ALOIS",Policy with respect to Aliens and Migration Research in the Federal Republic of Germany 1973 – 1983,1983,International Migration
"MCKEE, DAVID L.",Some Specifics on the Brain Drain from the Andean Region,1983,International Migration
"MAHMOUD, MAHGOUB EL-TIGANI",Sudanese Emigration to Saudi Arabia,1983,International Migration
"KIRKLAND, JAMES R.",The Social Adjustment of Armenian Immigrants in Australia,1983,International Migration
"Atchison, John",Patterns of Australian and Canadian Immigration 1900–1983,1984,International Migration
"Danziger, Nira","The Contagion Effect, An additional Aspect in the Dynamics of Emigration: the Case of Israel",1984,International Migration
"Samuel, T.J.",Economic Adaptation of Refugees in Canada: Experience of a Quarter Century,1984,International Migration
"HUTCHISON, RAY",Miscounting the Spanish Origin Population in the United States: Corrections to the 1970 Census and their Implications,1984,International Migration
"PASSARIS, CONSTANTINE",The Economic Determinants of Canada's Multicultural Immigration,1984,International Migration
"KIRKLAND, JAMES RAY","Armenian Migration, Settlement and Adjustment in Australia",1984,International Migration
"KATS, RACHEL",Migration and Research Commitments: Long-term Effects of National Socialization,1984,International Migration
"APPLEYARD, R.T.",International Migration in a Changing World,1984,International Migration
"DERYCKERE, PHILIPPE",A Comparative Illustration of the Life-cycle of Economic Migration (1960 – 1980),1984,International Migration
"DE WENDEN, CATHERINE WIHTOL",The Evolution of French Immigration Policy after May 1981,1984,International Migration
"MUSCHKIN, CLARA G.",Demographic Consequences of Migration Trends in Puerto Rico: 1950 – 1980,1984,International Migration
"STRAUBHAAR, THOMAS",The Accession of Spain and Portugal to the EC from the Aspect of the Free Movement of Labour in an enlarged Common Labour Market,1984,International Migration
"PAPADEMETRIOU, DEMETRIOS G.","Immigration Reform, American Style",1984,International Migration
"LEBON, PAR ANDRÉ",Les envois de fonds des migrants et leur utilisation,1984,International Migration
"DAMIAN, NATALIA",Immigrants and their occupational Absorption: The Israeli Case,1984,International Migration
"PENNINX, R.",Research and Policy with regard to Ethnic Minorities in the Netherlands; an historical Outline and the State of Affairs,1984,International Migration
"LIMAGE, LESLIE J.",Young Migrants of the Second Generation in Europe: Education and Labour Market Insertion Prospects,1984,International Migration
"JENNY, R.K.",Current Trends and Developments: The Changing Character of Contemporary Migration,1984,International Migration
"GOULD, W.T.S.",International Migration of Skilled Labour within Africa: A Bibliographical Review,1985,International Migration
"JIMENEZ, CAROL J.",Filipino Workers in the Middle East: Social Profile and Policy Implications,1985,International Migration
"BIFFL, G.",Structural Shifts in the Employment of Foreign Workers in Austria,1985,International Migration
"COX, D.",Welfare Services for Migrants Can they be better planned?,1985,International Migration
"VERMA, RAVI B.P.",Asian Immigrants in Canada: Some Findings from 1981 Census,1985,International Migration
"LAWLESS, R.J.",Some new Trends in Mediterranean Labour Migration: The Middle East Connection,1985,International Migration
,Joint Meeting on The Impact of International Migration on Third World Development,1985,International Migration
"PAPADEMETRIOU, DEMETRIOS G.",Illusions and Reality in International Migration: Migration and Development in post World War II Greece,1985,International Migration
"WOLOSKI, B.",The Labour Market Experiences of Canadian Immigrants,1985,International Migration
"LIMAGE, LESLIE J.",Policy Aspects of Educational Provision for Children of Migrants in Western European Schools,1985,International Migration
"ENTZINGER, HAN",Return Migration in Western Europe,1985,International Migration
"CARLSON, A. W.",One Century of foreign Immigration to the United States: 1880,1985,International Migration
"JONGKIND, C.F.","The Dutch Colony in Tres Arroyos, Argentina: A Particular Case of Ethnic Group Maintenance*",1985,International Migration
"WISEMAN, JACQUELINE P.",Individual Adjustments and Kin Relationships in the ‘New Immigration’: An Approach to Research,1985,International Migration
"SAUNDERS, E. ANNE","Resettlement Experiences of Russian Jewish Immigrants in Vancouver, Canada between 1975 and 1982",1985,International Migration
"MARR, WILLIAM",The Canadian Temporary Visa Programme as an Alternative to the European Guest Worker Scheme,1985,International Migration
"HILLER, HARRY H.",The Social Organization of Migration: An Analysis of the Uprooting and Flight of Vietnamese Refugees,1985,International Migration
"McKEE, DAVID L.",Argentina and the Brain Drain: Some Perspectives from Expatriates in the United States,1985,International Migration
"DARVISH, TIKVA",Changes in the Employment Structure of Iraqi Jewish Immigrants to Israel,1985,International Migration
"FEIL, CHRISTINE","Migrant Children in the German Kindergarten: Data, Problems, and Pedagogical Models*",1985,International Migration
"MYERS, GEORGE C.",Migration and Household/Family Structure: Puerto Ricans in the United States,1985,International Migration
"DAMIAN, NATALIA",Divorce and Immigration: The Social Integration of Immigrant Divorcees in Israel*,1985,International Migration
"TZOUGAS, J.",International Migration in Greece Statistical Results,1985,International Migration
"KRAUS, RUDOLF","Different Forms, Reasons and Motivations for Return Migration of Persons who Voluntarily Decide to Return to Their Countries of Origin",1986,International Migration
"CALLEA, SAVERIO","Different Forms, Reasons and Motivations for Return Migration of Persons who Voluntarily Decide to Return to Their Countries of Origin",1986,International Migration
,"The Meaning, Modalities and Consequences of Return Migration",1986,International Migration
"LEPORE, SILVIA",Problems Confronting Migrants and Members of Their Families When They Return to Their Countries of Origin,1986,International Migration
"DUMON, W.","Problems Faced by Migrations and their Family Members, Particulary Second Generation Migrants, in Returning to and Reintegrating into their Countries of Origin",1986,International Migration
,The Return of International Labour Migrants in the ESCAP Region,1986,International Migration
"DEBART, MARIE-HELENE",Measures Which Host Countries and Countries of Origin Could Adopt to Promote the Return of Migrants,1986,International Migration
,Measures to Facilitate the Reintegration of Migrants Upon Return to their Countries of Origin,1986,International Migration
"KEELY, CHARLES B.",Return of Talent Programs: Rationale and Evaluation Criteria for Programs to Ameliorate a ‘Brain Drain’,1986,International Migration
"BAUTISTA, E. BRU",Reattraction of Needed Skills to Developing Countries of Origin,1986,International Migration
,Measures to Facilitate the Return and Reintegration of Highly Skilled Migrants into African Countries,1986,International Migration
"OHNDORF, WOLFGANG","The Various Forms, Reasons and Motivations for Return Migration of Persons who Voluntarily Decide to Return to their Countries of Origin",1986,International Migration
"SECCOMBE, IAN J.",Immigrant Workers in an Emigrant Economy:,1986,International Migration
,Working permits issued to non-Jordanian IImmigrants 1973,1986,International Migration
"CRUZ, JUAN E. HERNANDEZ",Reintegration of Circulating Families in Southwestern Puerto Rico*,1986,International Migration
"LOBODZINSKA, BARBARA",Post-War Immigration in the United States and the State of Minnesota:,1986,International Migration
"KUTHIALA, S. K.",Migrant Workers: A Passage from India to the Middle East,1986,International Migration
"GUSTAFSSON, BJÖRN",International Migration and Falling into the Income ‘Safety Net’:,1986,International Migration
"FARMER, RUTH S.J.",International Migration and New Zealand Labour Markets,1986,International Migration
"WERNER, H.",Post-War Labour Migration in Western Europe An Overview,1986,International Migration
"HOPE, ELIZABETH M. THOMAS",Transients and Settlers: Varieties of Caribbean Migrants and the Socio-Economic Implications of their Return,1986,International Migration
"JOCKENHÖVEL-SCHIEKE, HELGA",Realities of Life and Future Prospects within two Cultures,1986,International Migration
"RICHARDS, PETER",Return Migration from Australia A Case Study,1986,International Migration
"CAMMAERT, M.F.",The Long Road from Nador to Brussels,1986,International Migration
"AL-HAJ, MAJID",Adjustment Patterns of the Arab Internal Refugees in Israel,1986,International Migration
"PERRUCHOUD, R.",The Law of Migrants*,1986,International Migration
"TAYLOR, C.",The Feminization of Temporary Workers: The Canadian Case*,1986,International Migration
"MONTGOMERY, R.",The Economic Adaptation of Vietnamese Refugees in Alberta: 1979-84,1986,International Migration
"HURFORD, CHRIS",Statement by Governments: AUSTRALIA THE 1986-87 MIGRATION PROGRAM,1986,International Migration
"ENTZINGER, H.B.","Race, Class and the Shaping of a Policy for Immigrants: The Case of the Netherlands",1987,International Migration
"MICHALOWSKI, M.",Adjustment of Immigrants in Canada: Methodological Possibilities and its Implications*,1987,International Migration
"ARNOLD, F.",Birds of Passage No More: Migration Decision Making among Filipino Immigrants in Hawaii,1987,International Migration
"ZUBRZYCKI, J.",Public Policy in a Multicultural Australia*,1987,International Migration
"HARITOS-FATOUROS, M.",Maternal Attitudes of Greek Migrant Women,1987,International Migration
"Schuck, P. H.",The Status and Rights of Undocumented Aliens in the United States,1987,International Migration
"Suarez-Orozco, M.M.",Hispanic Americans: Comparative Considerations and the Educational Problems of Children*,1987,International Migration
"Helweg, A.W.",Why Leave India for America? A Case Study Approach to Understanding Migrant Behaviour*,1987,International Migration
"Narain, V.",Forms of Migration and Measurement in Social Demography,1987,International Migration
"Kaǧitĉibasi, Ĉiǧdem",Alienation of the Outsider: The Plight of Migrants,1987,International Migration
"de Wenden, C. Wihtol","France's Policy on Migration From May 1981 Till March 1986: Its Symbolic Dimension, its Restrictive Aspects and its Unintended Effects",1987,International Migration
"Salt, J.",Contemporary Trends in International Migration Study,1987,International Migration
"Lohrmann, R.",Irregular Migration: A Rising Issue in Developing Countries*,1987,International Migration
"Moncarz, R.",The Golden Cage,1987,International Migration
"Conyers, T.",The Employment Effects of Immigration: A Balance Sheet Approach*,1987,International Migration
"Thalassions, L.I.",Income Distributional Effects on Factor Returns,1987,International Migration
"Bidegain, G.","Democracia, Migración y Retorno: Los Argentinos, Chilenos y Uruguayos en Venezuela",1987,International Migration
"Papademetriou, D.G.",Current Trends and Developments,1987,International Migration
"Passaris, C.",Canada's Demographic Outlook and Multicultural Immigration,1987,International Migration
"Odynak, D.",A Generalization of Petersen's Typology of Migration*,1987,International Migration
"Limage, L.J.",Economic Recession and Migrant/Minority Youth in Western Europe and the United States*,1987,International Migration
"Khera, I.",Exporting Labor: The Impact of Expatriate Workers on the Home Country*,1987,International Migration
"Rath, J.",Ethnicity and Emancipation*,1987,International Migration
"von Bethlenfalvy, P.",Current Trends and Developments,1987,International Migration
"Atchison, J.",Immigration in Two Federations: Canada and Australia,1988,International Migration
"Nauck, B.",Migration and Change in Parent-Child Relationships. The Case of Turkish Migrants in Germany.,1988,International Migration
"Jutila, S.T.",Socio-economic Stratification Generated by International Migration Loops,1988,International Migration
"Mullan, B.P.",Social Mobility among Migrants between Mexico and the U.S. and within the U.S. Labor Market*,1988,International Migration
"Hansen, L.O.",The Political and Socioeconomic Context of Legal and Illegal Mexican Migration to theUnited States (1942–1984).,1988,International Migration
"Miller, M.J.",Current Trends and Developments,1988,International Migration
"Böhning, W. R.",The Protection of Migrant Workers and International Labour Standards*,1988,International Migration
"Stahl, C. W.",Manpower Export and Economic Development: Evidence from the Philippines*,1988,International Migration
"Samuel, T. J.",Family Class Immigrants to Canada. 1981–84: Part 1*,1988,International Migration
"Lohrmann, R.",Measures to Facilitate the Reintegration of Returning Migrant Workers. International Experiences*,1988,International Migration
"Begag, A.",La Mobilité spatiale des immigrés et ses effets sociaux,1988,International Migration
"Schatzer, P.",Current Trends and Developments,1988,International Migration
"Eaglstein, A. S.",An Analytical Paradigm for the Analysis of National Inmigration Patterns,1988,International Migration
"Sinclair, C. A.","Labour Migration in the Arab Gulf States: Patterns, Trends and Prospects*",1988,International Migration
"Samuel, T. J.",Family Class Immigrants to Canada 1981–1984,1988,International Migration
"Lauro, D.",Chinese Migration and Settlement in a Thai Village,1988,International Migration
"McCready, D. J.",The Expenditure Patterns of the Canadian-born and the Foreign-born in Canada,1988,International Migration
"Mirdal, G. M.",The Interpreter in Cross-Cultural Therapy,1988,International Migration
"Richmond, A.H.",Caribbean Immigrants in Britain and Canad: Socio-economic Adjustment*,1988,International Migration
"Shain, Y.",Who is a Political Exile? Defining a Field of Study for Political Science.,1988,International Migration
"Eelens, F.",Early Return of Sri Lankan Migrants in the Middle East,1988,International Migration
"Tisdell, C. A.",The Developmental Implications of Migration From and Between Small Island Nations,1988,International Migration
"Hardjono, J.",The Indonesian Transmigration Program in Historical Perspective,1988,International Migration
"Dail, P. W.",Immigration and Migration in America: Social Impact and Social Response*,1988,International Migration
"Similä, M.",Situation and Ethnic Identity,1988,International Migration
"Mehrländer, U.",Current Trends and Developments,1988,International Migration
"Lundström, S.",Two Ways of Intergrating Immigrants: Israel,1988,International Migration
"PAPADEMETRIOU, D. G.",The U. S. Legalization Program: A Preliminary Final Report*,1989,International Migration
"NAUCK, B.",Assimilation Process and Group Integration of Migrant Families,1989,International Migration
"DIKAIOU, M.",Peer Interaction in Migrant Children Observational Data and Parents' Evaluations,1989,International Migration
"MULLAN, B. P.",The Impact of Social Networks on the Occupational Status of Migrants,1989,International Migration
"IREDALE, R.",Barriers to Migrant Entry to Occupations in Australia*,1989,International Migration
"Pongsapich, A.",The Case Of Asian Migrants To The Gulf Region,1989,International Migration
"Coelho, A. Bento",Effects of Migration on Social Change in the Country of Origin,1989,International Migration
"Koch, L.",Impact of the Reversal of the Migration Situation on the Social Structures of Certain Countries,1989,International Migration
"Martinez, J. N. Cely",Social Effects of Labour Migration: The Colombia Experience,1989,International Migration
"Ohndorf, W.",Social Effects of Migration in Receiving Countries,1989,International Migration
"Bergman, E.",Social Effects of Migration in Receiving Countries,1989,International Migration
"Isaias, E. Bello",Social Effects of Group Migration Between Developing Countries,1989,International Migration
"Sanz, L. Cariola",The Impact Of Chilean Migration On Employment In Patagonia*,1989,International Migration
"Dumon, W. A.",Family and Migration,1989,International Migration
"LEMOINE, M.",Effects of Migration on Family Structure in the Receiving Country,1989,International Migration
"Pekin, H.",Effects of Migration on Family Structure,1989,International Migration
"Okoth-Ogendo, H. W. O.",The Effect of Migration on Family Structures in Sub-Saharan Africa,1989,International Migration
"Orellana, R. Torrealba",Migratory Movements and their Effects on Family Structure: The Latin American Case,1989,International Migration
"MUUS, P.",No Limits for Migration after 1992? The Lessons of the Past and a Reconnaissance of the Future*,1989,International Migration
"PUTNAM, S.L.",Physician-Nurse Migration to the United States: Regional and Health Status Origins In Relation to Legislation and Policy,1989,International Migration
"OOMMEN, T. K.",India: ‘Brain Drain’ or the Migration of Talent?,1989,International Migration
"LABADIE, G. J.",Causes of Uruguayan Migration to Argentina,1989,International Migration
"BASAVARAJAPPA, K. G.","Employment Income of Immigrants In Metropolitan Areas of Canada, 1980*",1989,International Migration
"JONGKIND, F.","The Agrarian Colonies of Dutch Calvinists in Paraná, Brazil",1989,International Migration
"Perruchoud, R.",Family Reunification*,1989,International Migration
"Passaris, C.",Immigration and the Evolution of Economic Theory,1989,International Migration
"Wotherspoon, T.",Immigration and the Production of a Teaching Force: Policy Implications for Education and Labour,1989,International Migration
"Looney, R. L.",Patterns of Remittances and Labor Migration in the Arab World,1989,International Migration
"Kumagai, F.",Current Trends And Developments,1989,International Migration
"GOULD, W. T. S.",Occupational Continuity and International Migration of Skilled Workers: The Case of Mersey Port Workers,1990,International Migration
"FINDLAY, A.",A Migration Channels Approach to the Study of High Level Manpower Movements: A Theoretical Perspective,1990,International Migration
"LOONEY, R. E.",Macroeconomic Impacts of Worker Remittances on Arab World Labor Exporting Countries,1990,International Migration
"DIKAIOU, M.",Illiteracy and Tsigani Minority Children in Northern Greece: An Exploration of Parents' and Children's Views,1990,International Migration
"DUMAN, B.L.",The Israeli Kibbutz Ulpan: A Critical Look at a Unique Method of Immigrant Orientation and Absorption*,1990,International Migration
"BEGAG, A.",The French-Born Youths Originating in North-African Immigration. From Socio-Spatial Relegation to Political Participation,1990,International Migration
"HASENAU, M.",Setting Norms in the United Nations System: The Draft Convention on the Protection of the Rights of All Migrant Workers and their Families in Relation to ILO in Standards on Migrant Workers,1990,International Migration
"METWALLY, M.F.",The Impact of Migrants' Remittances on the Egyptian Economy,1990,International Migration
"GUSTAFSSON, B.",Public Sector Transfers and Income Taxes among Immigrants and Natives in Sweden*,1990,International Migration
"GREČIČ, V.",The Importance of Migrant Workers' and Emigrants' Remittances for the Yugoslav Economy,1990,International Migration
"SAMHA, M.",The Impact of Migratory Flows on Population Changes in Jordan: A Middle Eastern Case Study,1990,International Migration
"Kitching, R. T.",Labour Migration and the Work Permit System in the United Kingdom,1990,International Migration
"Steinberg, J.",Jewish Emigrants to Cuba: 1898–1960,1990,International Migration
"Mann, E. S.",Reconceptualizing Migration as a Household Phenomenon: Outmigration from New York City by Race and Hispanic Origin,1990,International Migration
"Satzewich, V.",Rethinking Post-1945 Migration to Canada: Towards a Political Economy of Labour Migration*,1990,International Migration
"ZagÓrski, K.",Regional Differences in Immigration and Economic Structure in Australia,1990,International Migration
"KHASIANI, S. A.",Refugee Research in Africa: Problems and Possibilities,1990,International Migration
"George, M. V.","Immigrant Fertility Patterns in Canada, 1961–1986*",1990,International Migration
"Zodgekar, A. V.",British Emigrants to New Zealand: their Motives and Expectations,1990,International Migration
"Verma, R. B. P.",Mortality Differentials among Immigrant Populations in Canada*,1990,International Migration
"Schuerman, L. A.","Variations in Fertility and Earning Patterns among Immigrants in the United States, 1970–1980: Assimilation or Disruption?*",1990,International Migration
"Schoorl, J. J.",Fertility Adaptation of Turkish and Moroccan Women in The Netherlands*,1990,International Migration
"Mitra, S.",Long Term Demographic Effect of a Constant Stream of Immigration when the Population is not Reproducing Itself*,1990,International Migration
"Karmi, G.",The Health Status and Health Beliefs of Two London Migrant Communities,1991,International Migration
"Meheus, A.",Sexually Transmitted Diseases and Migration,1991,International Migration
"Tomasevski, K.","Aids, Travel and Migration: Legal and Human Rights Aspects",1991,International Migration
"Faustino–Santos, R.",Canadian Immigrants and Criminality,1991,International Migration
"Du Toit, Brian M.",Immigration and Ethnicity: The Case of Argentina,1991,International Migration
"Montgomery, R.",Predicting Vietnamese Refugee Adjustment to Western Canada,1991,International Migration
"LundströM, S.",Bilateral Municipal Cooperation On Migrants. Return Ticket Kulu-Stockholm,1991,International Migration
"Sen, F.",Turkish Self-Employment In The Federal Republic Of Germany With Special Regard To Northrhine-Westphalia,1991,International Migration
"STAHL, C. W.",South-North Migration in the Asia-Pacific Region,1991,International Migration
"SARMIENTO, J. N.",The Asian Experience in International Migration,1991,International Migration
"ADEPOJU, A.",South-North Migration: The African Experience,1991,International Migration
"ESCOBAR-NAVIA, R.",South-North Migration in the Western Hemisphere,1991,International Migration
"MUNIZ, C. M.",The Emigration of Argentine Professionals and Scientists,1991,International Migration
"GREČIC, V.",East-West Migration and its Possible Influence on South-North Migration,1991,International Migration
"HEINS, F.",South-North Migration with Special Reference to Europe,1991,International Migration
"HEYDEN, H.",South-North Migration*,1991,International Migration
"PAPADEMETRIOU, D. G.",South-North Migration in the Western Hemisphere and US Responses,1991,International Migration
"ZLOTNIK, H.",Trends in South to North Migration: The Perspective from the North,1991,International Migration
"ARDITTIS, S.",Targeted Reintegration of Expatriate Brains into Developing Countries of Origin: The EEC-IOM Experience in Central America*,1991,International Migration
"EBANKS, G. E.",The Human Condition of West Indian Migrant Farm Labour in Southwestern Ontario,1991,International Migration
"MOROKVASIC, M.",Roads to Independence. Self-Employed Immigrants and Minority Women in Five European States*,1991,International Migration
"KURIAN, G.",South Asians in Canada,1991,International Migration
"POHJOLA, A.",Social Networks,1991,International Migration
"HUANG, W. C.","Cross Sectional Analysis of Indirect Professional Immigration to the United States, 1964–1974",1991,International Migration
"TORREALBA, R.",La Familia Migrante: Estrategias de Subsistencia en Familias Dominicanas en Venezuela,1991,International Migration
"CRUZ, A. M.",WILL THE EUROPEAN COMMUNITY MAKE THE 1992 DEADLINE ON THE ABOLITION OF INTERNAL BORDER CONTROLS ?,1991,International Migration
"Addleton, J.",The Impact of the Gulf War on Migration and Remittances in Asia and the Middle East,1991,International Migration
"Miles, R.",Migration to Britain: The Significance of a Historical Approach,1991,International Migration
"Kirisci, K.",Refugee Movements and Turkey,1991,International Migration
"Ismail, H. F.",Family Ties and Economic Stability Concerns of Migrant Labour Families in Jordan,1991,International Migration
"Schuerman, L. A.","Migration from Latin American Countries to the United States: The Economic, Social and Reproductive Lives of Hispanic Female Immigrants, 1980",1991,International Migration
"Ramos, H.",El México del “otro lado”: Los inmigrantes mexicanos en los Estados Unidos,1991,International Migration
"Appleyard, R. T.",Migration and Development: A Global Agenda for the Future,1992,International Migration
"Rogers, R.",The Politics of Migration in the Contemporary World,1992,International Migration
"Fonteneau, G.","The Rights of Migrants, Refugees or Asylum Seekers under International Law",1992,International Migration
"Berry, J. W.",Acculturation and Adaptation in a New Society,1992,International Migration
"Fernando, S.",Racism and the Health of Ethnic Minorities,1992,International Migration
"Bollini, P.",Health Policies for Immigrant Populations in the 1990s. A Comparative Study in Seven Receiving Countries,1992,International Migration
"Downing, T.",The Use of Bilingual/Bicultural Workers as Providers and Interpreters,1992,International Migration
"Karmi, G.",Educating London Doctors in Migration and Health: A New Initiative,1992,International Migration
"Kliewer, E.",Epidemiology of Diseases among Migrants,1992,International Migration
"Tousignant, M.",Migration and Mental Health. Some Prevention Guidelines,1992,International Migration
"Ebrahim, S.",Social and Medical Problems of Elderly Migrants,1992,International Migration
"Bennegadi, R.",Migration and Health — What Does the Future Hold?,1992,International Migration
"Keane, V.",Migrant Medical Processing — A Confusing Blend,1992,International Migration
"McCance, C.",Medical Screening of Migrants: Current National Requirements in the United States,1992,International Migration
"Loutan, L.",Medical Screening of Asylum Seekers in Switzerland,1992,International Migration
"King, K.",Medical Screening of Migrants in Australia,1992,International Migration
"Ramasundaram, S.",A Comparative Analysis of the Position of Undocumented Mexicans in the Los Angeles County Work Force in 1980,1992,International Migration
"Rubenstein, H.","Migration, Development and Remittances in Rural Mexico",1992,International Migration
"Stubos, G.",The Greek Immigrant Family in the United States and Canada: The Transition from an “Institutional” to a “Relational” Form (1945–1970),1992,International Migration
"Looney, R. E.",Manpower Options in a Small Labour-Importing State: The Influence of Ethnic Composition on Kuwait's Development,1992,International Migration
"Song, J. H. L.",Culture Conflict Revisited: Fraud by Vietnamese Physicians in the United States,1992,International Migration
"Straubhaar, Thomas",Migration Pressure,1993,International Migration
"Schaeffer, Peter V.",A Definition of Migration Pressure Based on Demand Theory,1993,International Migration
"Sassen, Saskia",Economic Internationalization:The New Migration in Japan and the United States,1993,International Migration
"Athukorala, Premachandra",Improving the Contribution of Migrant Remittances to Development: The Experience of Asian Labour-exporting Countries,1993,International Migration
"Ball, Jane",Nurse Mobility in Europe: Implications for the United Kingdom,1993,International Migration
"Laughlin, Jim Mac",Ireland: An “Emigrant Nursery” in the World Economy,1993,International Migration
"Wong, Lloyd L.",Immigration as Capital Accumulation: The Impact of Business Immigration to Canada,1993,International Migration
"Purcell, James N.",Japan and International Migration: Challenges and Opportunities,1993,International Migration
"Appleyard, Reginald",International Migration in East Asia: Situation and Issues,1993,International Migration
"Kawai, Saburo",Japan and International Migration: Situation and Issues,1993,International Migration
"Viccars, Che",Temporary Employment in Australia,1993,International Migration
"Fong, Pang Eng","Labour Migration to the Newly-Industrialising Economies of South Korea, Taiwan, Hong Kong and Singapore",1993,International Migration
"Papademetriou, Demetrios G.",Illegal Mexican Migration in the United States and US Responses,1993,International Migration
"Stahl, Charles W.","Low-Level Manpower Migration to Japan: Trends, Issues and Policy Considerations",1993,International Migration
"Blaschke, Jochen",Gates of Immigration into the Federal Republic of Germany,1993,International Migration
"Abella, Manolo I.",Role of Formal Labour Schemes in the Development of Third World Countries,1993,International Migration
"Lohrmann, Reinhard",Labour Migration Policies of European Countries,1993,International Migration
"Kiosseoglou, Grigoris",Identified Problems and Coping Strategies: Gypsy Minority Versus Non-Minority Adolescents,1993,International Migration
"Kargar, Howard Jacob",The Politics of Immigration Policy in Israel,1993,International Migration
"Carmichael, George A.",A History of Population Movement between New Zealand and Australia,1993,International Migration
"Halli, S. S.","Land Development and Transmigrant Farmers in Southern Sumatra, Indonesia",1993,International Migration
"Llambias-Wolff, Jaime",The Voluntary Repatriation Process of Chilean Exiles,1993,International Migration
"Barbero-Baconnier, Julie",When Peace Breaks Out,1993,International Migration
"Oucho, John O.",Towards Migration Research Networking in Eastern-Southern African Subregions,1993,International Migration
"Shah, Nasra M.",Arab Labour Migration: A Review of Trends and Issues,1994,International Migration
"Dikaiou, Maria",Present Realities and Future Prospects among Greek Returners,1994,International Migration
"Kosinski, Leszek A.",The Model of Place Utility Revisited,1994,International Migration
"Icduygu, Ahmet",Facing Changes and Making Choices: Unintended Turkish Immigrant Settlement in Australia,1994,International Migration
"Rao, Shobha",Reversing the Flow: Agricultural Development and Changing Migration Patterns in Rural Maharashtra,1994,International Migration
"Hager, Paul",The Distinction between Skills Based and Qualifications Based Procedures for Recognizing Migrants' Professional Skills*,1994,International Migration
"Appleyard, Reginald",IOM/UNFPA Project on Emigration Dynamics in Developing Countries,1994,International Migration
"Adepoju, Aderanti",Preliminary Analysis of Emigration Dynamics in Sub-Saharan Africa,1994,International Migration
"Shah, Nasra M.",An Overview of Present and Future Emigration Dynamics in South Asia,1994,International Migration
"Castillo, Manuel Angel","A Preliminary Analysis of Emigration Determinants in Mexico, Central America, Northern South America and the Caribbean1",1994,International Migration
"Buetow, Stephen A.",International Migration: Some Consequences for Urban Areas in Australia and New Zealand,1994,International Migration
"Nogle, June Marie",The Systems Approach to International Migration: An Application of Network Analysis Methods,1994,International Migration
"Ögelman, Nedim",Recent Developments in East-West Migration: Turkey and the Petty Traders,1994,International Migration
"Menjivar, Cecilia",Salvadorian Migration to the United States in the 1980s. What can we learn about it and from it?1,1994,International Migration
"Ngo, Hang-yue",The Economic Role of Immigrant Wives in Hong Kong1,1994,International Migration
"Baver, Sherrie L.",Implementation of Congressional Intent: A Study of Amnesty Policy and the Immigration and Naturalization Service,1994,International Migration
"Tsokhas, Kosmas",Immigration and Unemployment in Australia,1994,International Migration
"Jandl, Michael",Is Migration Supply – or Demand – Determined?. Some remarks on the ideological use of economic language,1994,International Migration
"Kesmez, Selim S.",Elderly Turkish Immigrants' Access to and Future Use of Health and Social Services in Copenhagen1,1994,International Migration
"Mahmood, Raisul Awal",Adaptation to a New World: Experience of Bangladeshis in Japan1,1994,International Migration
"Kadioglu, Ayse",The Impact of Migration on Gender Roles: Findings of Field Research in Turkey1,1994,International Migration
"Ghimire, K.",Refugees and Deforestation1,1994,International Migration
"Barbara, Augustin",Mixed Marriages. Some Key Questions1,1994,International Migration
"APPLEYARD, R. T.",EMIGRATION DYNAMICS IN DEVELOPING COUNTRIES,1994,International Migration
"GUNATILLEKE, G.",INTERNATIONAL RESPONSE TO TRAFFICKING IN MIGRANTS AND THE SAFEGUARDING OF MIGRANT RIGHTS,1994,International Migration
"Shuval, Judith T.",Occupational Continuity and Change among Immigrant Physicians from the Former Soviet Union in Israel1,1995,International Migration
"Oucho, John O.",International Migration and Sustainable Human Development in Eastern and Southern Africa,1995,International Migration
"Altzinger, Wilfried",How Labour Market Experiences of Migrants Differ: Australia and Austria Compared1,1995,International Migration
"Amankwaa, Adansi A.",The World Economic System and International Migration in Less Developed Countries: An Ecological Approach1,1995,International Migration
"Dekker, Rein",Forced Homecoming: Ghanaians' Resettlement in their Rural Hometown. A Case Study,1995,International Migration
"Glytsos, Nicholas P.",Problems and Policies Regarding the Socio-economic Integration of Returnees and Foreign Workers in Greece1,1995,International Migration
"Farrag, Mayar",Black Markets in Foreign Exchange and International Migration: The Case of Egypt 1976–1990,1995,International Migration
"Bariagaber, Assefaw",Linking Political Violence and Refugee Situations in the Horn of Africa: An Empirical Approach1,1995,International Migration
"Khaled, Louhichi",Migration and Women's Status: The Jordan Case,1995,International Migration
"Chen, Shyh-jer",Migrant Selectivity and Returns to Skills: The Case of Taiwanese Immigrants in the United States1,1995,International Migration
"Appleyard, R. T.",Note from the Editor,1995,International Migration
"Appleyard, Reginald",Emigration Dynamics in Developing Countries,1995,International Migration
"Adepoju, Aderanti",Emigration Dynamics in Sub-Saharan Africa1,1995,International Migration
