article_title	article_doi	article_author	article_author_index_name	article_author_affiliation	article_page_range	article_pub_date	article_pub_year	issue_section	journal	volume	issue	issue_title	issue_page_range	issue_pub_date	issue_pub_year	publisher
Book Review: Pregnant on Arrival: Making the Illegal Immigrant	https://journals.sagepub.com/doi/pdf/10.1111/imre.12202	Sean H. Wang	Wang, Sean H	Syracuse University	e15-e16	July 19, 2018	2018	Book Reviews	International Migration Review	49	2	International Migration Review - Volume 49, Number 2, Jun 01, 2015		Jun 01, 2015	2015	Sage Publishing
The Role of Two Newspapers in the Assimilation of Italians in Buenos Aires and São Paulo, 1893–1913	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200301	Samuel L. Baily	Baily, Samuel L	Rutgers College	321-340	Sep 1, 1978	1978	Article	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
British Immigration and Settlement in Australian Cities, 1947–1971	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200302	I.H. Burnley	Burnley, IH	University of New South Wales	341-358	Sep 1, 1978	1978	Article	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Intermarriage among Spanish Surnamed Californians, 1962–1974	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200303	Robert Schoen && Verne E. Nelson && Marion Collins	Schoen, Robert && Nelson, Verne E && Collins, Marion	University of Illinois && California Department of Health && California Department of Health	359-369	Sep 1, 1978	1978	Article	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Migration, Urbanization, and Fertility in the Philippines	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200304	Virginia A. Hiday	Hiday, Virginia A	North Carolina State University	370-385	Sep 1, 1978	1978	Article	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
A Geographical Appraisal of Transfrontier Commuting in Western Europe: The Example of Alsace	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200305	J.N. Tuppen	Tuppen, JN	University of Salford	386-405	Sep 1, 1978	1978	Article	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Earning Differentials among Native Born and Foreign Born Residents of Toronto	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200306	B.B. Tandon	Tandon, BB	Queen's University	406-410	Sep 1, 1978	1978	Documentation	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: Farm Workers and Agri-business in California, 1947–1960	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200307	Oscar Martinez	Martinez, Oscar	University of Texas at El Paso	411-412	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: Asians in America: Filipinos, Koreans, and East Indians	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200308	Stanford M. Lyman	Lyman, Stanford M	New School for Social Research	412-413	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: Immigrant Children in American Schools. A Classified and Annotated Bibliography with Selected Source Documents	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200309	S.M. Tomasi	Tomasi, SM	Center for Migration Studies	413-414	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: The Finn Factor in American Labor, Culture and Society	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200310	Douglas Ollila	Ollila, Douglas	Augsburg College	414-415	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: The Invisible French: The French in Metropolitan Toronto	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200311	Harold Troper	Troper, Harold	Ontario Institute for Studies in Education	415-416	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: Migration Resarch in Scandinavia	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200312	Sture Lindmark	Lindmark, Sture	Sveriges Köpmannaförbund	416-417	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: Demographic Developments in Eastern Europe	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200313	Robert E. Rhoades	Rhoades, Robert E	University of Kansas	417-418	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: Urbanization, Population Growth, and Economic Development in the Philippines	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200314	Virginia A. Hiday	Hiday, Virginia A	North Carolina State University	418-420	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: Education, Employment, and Migration: Israel in Comparative Perspective	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200315	Francesco Cordasco	Cordasco, Francesco	Montclair State College	420-421	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: Peoples: The Ethnic Dimension in Human Relations	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200316	Marlene Mackie	Mackie, Marlene	University of Calgary	421-422	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: Issues in Race and Ethnic Relations	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200317	Charles Palazzolo	Palazzolo, Charles	Villanova University	422-423	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: The Ethnic Frontier: Essays in the History of Group Survival in Chicago and the Midwest	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200318	David M. Reimers	Reimers, David M	New York University	423-424	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: Cultural Change and Identity: Mandailing Immigrants in West Malaysia	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200319	Judith Nagata	Nagata, Judith	York University	424-425	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Book Review: The Rediscovery of Ethnicity. Its Implications for Culture and Politics in America	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200320	Helen Wojniusz	Wojniusz, Helen	State University of New York at Cortland	425-427	Sep 1, 1978	1978	Book Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Review of Reviews	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200321				428-438	Sep 1, 1978	1978	Review of Reviews	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
International Newsletter on Migration	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200322				439-446	Sep 1, 1978	1978	Article	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Books Received	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200323				447-449	Sep 1, 1978	1978	Books Received	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Comment on M. Mark Stolarik's Review of An Anthology of Slovak Literature	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200324	Andrew Cincura	Cincura, Andrew	University of California	450-451	Sep 1, 1978	1978	Communications	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
Reply to Andrew Cincura's Comments	https://journals.sagepub.com/doi/pdf/10.1177/019791837801200325	M. Mark Stolarik	Stolarik, M Mark	National Museum of Man	451-453	Sep 1, 1978	1978	Communications	International Migration Review	12	3	International Migration Review - Volume 12, Number 3, Sep 01, 1978		Sep 01, 1978	1978	Sage Publishing
A Glass Half Full? Gender in Migration Studies	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00001.x	Katharine M. Donato && Donna Gabaccia && Jennifer Holdaway && Martin Manalansan, IV && Patricia R. Pessar	Donato, Katharine M && Gabaccia, Donna && Holdaway, Jennifer && Manalansan, Martin IV && Pessar, Patricia R	Rice University && University of Minnesota && Social Science Research Council && University of Illinois, Urbana-Champaign && Yale University	3-26	Mar 1, 2006	2006	Article	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Gender Matters: Ethnographers Bring Gender from the Periphery toward the Core of Migration Studies	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00002.x	Sarah J. Mahler && Patricia R. Pessar	Mahler, Sarah J && Pessar, Patricia R	Florida International University && Yale University	27-63	Mar 1, 2006	2006	Article	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Geographies of Gender and Migration: Spatializing Social Difference	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00003.x	Rachel Silvey	Silvey, Rachel	University of Colorado	64-81	Mar 1, 2006	2006	Article	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Gender and Migration: Historical Perspectives	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00004.x	Suzanne M. Sinke	Sinke, Suzanne M	Floride State University	82-103	Mar 1, 2006	2006	Article	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Gender, Migration, and Law: Crossing Borders and Bridging Disciplines	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00005.x	Kitty Calavita	Calavita, Kitty	University of California, Irvine	104-132	Mar 1, 2006	2006	Article	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Gendering the Politics of Migration	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00006.x	Nicola Piper	Piper, Nicola	Asia Research Institute, National University of Singapore	133-164	Mar 1, 2006	2006	Article	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Gendered Perspectives in Psychology: Immigrant Origin Youth	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00007.x	Carola Suárez-Orozco && Desirée Baolian Qin	Suárez-Orozco, Carola && Qin, Desirée Baolian	New York University && Columbia University	165-198	Mar 1, 2006	2006	Article	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Mapping Gender and Migration in Sociological Scholarship: Is It Segregation or Integration?	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00008.x	Sara R. Curran && Steven Shafer && Katharine M. Donato && Filiz Garip	Curran, Sara R && Shafer, Steven && Donato, Katharine M && Garip, Filiz	Henry M. Jackson School of International Studies, University of Washington && Department of Sociology, Princeton University && Department of Sociology, Rice University && Department of Sociology, Princeton University	199-223	Mar 1, 2006	2006	Article	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Queer Intersections: Sexuality and Gender in Migration Studies	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00009.x	Martin F. Manalansan, IV	Manalansan, Martin F IV	University of Illinois, Urbana-Champaign	224-249	Mar 1, 2006	2006	Article	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Book Review: The Politics of Migration and Immigration in Europe	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00010.x	Emek M. Ucarer	Ucarer, Emek M	Bucknell University	250-250	Mar 1, 2006	2006	Book Reviews	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Book Review: Immigrants in the Lands of Promise: Italians in Buenos Aires and New York City, 1870 to 1914	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00011.x	Arturo Ignacio Sánchez	Sánchez, Arturo Ignacio	LaGuardia Community College	250-251	Mar 1, 2006	2006	Book Reviews	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Book Review: Pentagons New Map: War and Peace in the Twenty-First Century	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00012.x	Mark J. Miller	Miller, Mark J	University of Delaware	251-253	Mar 1, 2006	2006	Book Reviews	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Book Review: Religion and Nation: Iranian Local and Transnational Networks in Britain	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00013.x	Shahram Khosravi	Khosravi, Shahram	Stockholm University	253-254	Mar 1, 2006	2006	Book Reviews	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Book Review: Other Immigrants: The Global Origins of the American People	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00014.x	Elliott R. Barkan	Barkan, Elliott R	California State University, San Bernardino	254-254	Mar 1, 2006	2006	Book Reviews	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Book Review: The Oriental Question: Consolidating a White Man's Province, 1914–41	https://journals.sagepub.com/doi/pdf/10.1111/j.1747-7379.2006.00015.x	Anthony B. Chan	Chan, Anthony B	University of Washington	254-256	Mar 1, 2006	2006	Book Reviews	International Migration Review	40	1	International Migration Review - Volume 40, Number 1, Mar 01, 2006		Mar 01, 2006	2006	Sage Publishing
Mexican Immigration and the Port-of-Entry School	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300101	Reynaldo Baca && Dexter Bryan && Clair McLean-Bardwell && Francisco Gomez	Baca, Reynaldo && Bryan, Dexter && McLean-Bardwell, Clair && Gomez, Francisco	California State University && California State University && California State University && California State University	3-23	Mar 1, 1989	1989	Article	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Politics and Ideology in Migration Policy Formulation: The Case of Kuwait	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300102	Sharon Stanton Russell	Russell, Sharon Stanton	Massachusetts Institute of Technology	24-47	Mar 1, 1989	1989	Article	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Structural Opportunity or Ethnic Advantage? Immigrant Business Development in New York	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300103	Roger Waldinger	Waldinger, Roger	City College and Graduate School-CUNY	48-72	Mar 1, 1989	1989	Article	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Intra-group Differences in Business Participation: Three Asian Immigrant Groups	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300104	Kwang Chung Kim && Won Moo Hurh && Marilyn Fernandez	Kim, Kwang Chung && Hurh, Won Moo && Fernandez, Marilyn	Western Illinois University && Western Illinois University && University of Illinois at Chicago	73-95	Mar 1, 1989	1989	Article	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Migration and Motivation: The Migrant's Perspective	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300105	Diana B. Winchie && David W. Carment	Winchie, Diana B && Carment, David W	McMaster University && McMaster University	96-104	Mar 1, 1989	1989	Research Note	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
The Role of Information in the Realization of the Human Rights of Migrant Workers	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300106	Taisto Hujanen	Hujanen, Taisto	University of Tampere, Finland	105-119	Mar 1, 1989	1989	Conference Report	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Book Review: Anglos and Mexicans in the Making of Texas, 1836–1986	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300107	Avelardo Valdez	Valdez, Avelardo	The University of Texas at San Antonio	120-121	Mar 1, 1989	1989	Book Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Book Review: The Irish in Chicago	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300108	Eileen McMahon	McMahon, Eileen	Loyola University of Chicago	121-121	Mar 1, 1989	1989	Book Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Book Review: Accommodation without Assimilation: Sikh Immigrants in an American High School	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300109	Arthur W. Helweg	Helweg, Arthur W	Western Michigan University	121-122	Mar 1, 1989	1989	Book Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Book Review: The Greek American Community in Transition	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300110	Anna Veglery	Veglery, Anna	Athens, Greece	122-123	Mar 1, 1989	1989	Book Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Book Review: Adventurers and Proletarians: The Story of Migrants in Latin America	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300111	Thomas H. Holloway	Holloway, Thomas H	Cornell University	123-124	Mar 1, 1989	1989	Book Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Book Review: Double Standard: The Secret History of Canadian Immigration	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300112	C. Michael Lanphier	Lanphier, C Michael	York University	124-125	Mar 1, 1989	1989	Book Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Book Review: DP: Lithuanian Immigration to Canada after the Second World War	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300113	Harold Troper	Troper, Harold	Ontario Institute for Studies in Education	125-126	Mar 1, 1989	1989	Book Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Book Review: Politics, Work, and Daily Life in the USSR: A Survey of Former Soviet Citizens	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300114	Andrea Chandler	Chandler, Andrea	Columbia University	126-128	Mar 1, 1989	1989	Book Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Book Review: Sojourners and Settlers: The Yemeni Immigrant Experience	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300115	Steve Gold	Gold, Steve	Whittier College	128-129	Mar 1, 1989	1989	Book Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Book Review: Les Variations de l'identite: Etude de l'evolution de l'identite culturelle des enfants d'emigres portugais en France et au Portugal	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300116	Jonathan M. Schwartz	Schwartz, Jonathan M	University of Copenhagen	129-130	Mar 1, 1989	1989	Book Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Review of Reviews	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300117				131-155	Mar 1, 1989	1989	Review of Reviews	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
International Newsletter on Migration	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300118				156-162	Mar 1, 1989	1989	Article	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Books Received	https://journals.sagepub.com/doi/pdf/10.1177/019791838902300119				163-165	Mar 1, 1989	1989	Books Received	International Migration Review	23	1	International Migration Review - Volume 23, Number 1, Mar 01, 1989		Mar 01, 1989	1989	Sage Publishing
Foreword	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600401	W.R. Böhning	Böhning, WR	International Labour Office, Geneva	732-735	Dec 1, 1982	1982	Article	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
International Migration in Modern Economic Development: With Special Reference to Yugoslavia	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600402	Zvonimir Baletić	Baletić, Zvonimir	Economic Institut, Zagreb, Yugoslavia	736-756	Dec 1, 1982	1982	Article	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
The Impact of Emigration on National Development in the Arab Region: The Case of the Yemen Arab Republic	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600403	Nader Fergany	Fergany, Nader	Arab Planning Institute, Kuwait	757-780	Dec 1, 1982	1982	Article	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
A Critical Review of Theory and Practice: The Case of Turkey	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600404	Rinus Penninx	Penninx, Rinus	Ministry of Culture, Recreation and Social Affairs Rijswijk, The Netherlands	781-818	Dec 1, 1982	1982	Article	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
International Migration in the Dominican Republic: Implications for Development Planning	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600405	Thomas K. Morrison && Richard Sinkin	Morrison, Thomas K && Sinkin, Richard	U.S. Agency for International Development && University of Texas	819-836	Dec 1, 1982	1982	Article	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Emigration and Development in Southern Africa, with Special Reference to Lesotho	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600406	James Cobbe	Cobbe, James	Department of Economics Florida State University	837-868	Dec 1, 1982	1982	Article	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Labor Emigration and Economic Development	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600407	Charles W. Stahl	Stahl, Charles W	University of Newcastle	869-899	Dec 1, 1982	1982	Article	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: Today's Immigrants, Their Stories	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600408	David M. Reimers	Reimers, David M	New York University	900-900	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: Ethnic America, A History	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600409	Pierre L. Van Den Berghe	van den Berghe, Pierre L	University of Washington	900-902	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: Dualism and Discontinuity in Industrial Societies	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600410	Demetrios G. Papademetriou	Papademetriou, Demetrios G	Center for Migration Studies	902-904	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: The Portuguese-Americans	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600411	Jerry R. Williams	Williams, Jerry R	California State University	904-905	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: Die deutschsprachige Auswanderung in die Vereinigten Staaten: Berichte über Forschungsstand und Quellenbestände	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600412	James M. Bergquist	Bergquist, James M	Villanova University	905-906	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: The Economic Basis of Ethnic Solidarity: Small Business in the Japanese American Community	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600413	Morrison G. Wong	Wong, Morrison G	Texas Christian University	906-908	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: Polish Detroit and the Kolasinski Affair	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600414	Robert Emmett Curran	Curran, Robert Emmett	Georgetown University	908-909	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: “Temporary” Alien Workers in the United States: Designing Policy from Fact and Opinion	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600415	Richard J. Moore	Moore, Richard J	Princeton University	909-910	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: Counseling the Culturally Different	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600416	James J. Borland	Borland, James J	Doctor's Hospital, New York	910-911	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: Industrial Development and Migrant Labor in Latin America	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600417	Alex Stepick	Stepick, Alex	Florida International University	911-912	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Book Review: A History of the Byelorussians in Canada	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600418	Frank H. Epp	Epp, Frank H	Conrad Grebel College University of Waterloo	912-913	Dec 1, 1982	1982	Book Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
Review of Reviews	https://journals.sagepub.com/doi/pdf/10.1177/019791838201600419				914-921	Dec 1, 1982	1982	Review of Reviews	International Migration Review	16	4	International Migration Review - Volume 16, Number 4, Dec 01, 1982		Dec 01, 1982	1982	Sage Publishing
